id,name,host_id,host_name,host_since,host_listings_count,zipcode,smart_location,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,number_of_reviews,cancellation_policy
241032,Stylish Queen Anne Apartment,956883,Maija,8/11/2011,3,98119,"Seattle, WA",United States,47.63628904,-122.3710252,Apartment,Entire home/apt,4,1,1,1,Real Bed,$85.00 ,,,,,2,$5.00 ,1,365,4 weeks ago,207,moderate
953595,Bright & Airy Queen Anne Apartment,5177328,Andrea,2/21/2013,6,98119,"Seattle, WA",United States,47.63912312,-122.3656665,Apartment,Entire home/apt,4,1,1,1,Real Bed,$150.00 ,"$1,000.00 ","$3,000.00 ",$100.00 ,$40.00 ,1,$0.00 ,2,90,today,43,strict
3308979,New Modern House-Amazing water view,16708587,Jill,6/12/2014,2,98119,"Seattle, WA",United States,47.62972413,-122.3694832,House,Entire home/apt,11,4.5,5,7,Real Bed,$975.00 ,,,"$1,000.00 ",$300.00 ,10,$25.00 ,4,30,5 weeks ago,20,strict
7421966,Queen Anne Chateau,9851441,Emily,11/6/2013,1,98119,"Seattle, WA",United States,47.6384732,-122.3692791,Apartment,Entire home/apt,3,1,0,2,Real Bed,$100.00 ,$650.00 ,"$2,300.00 ",,,1,$0.00 ,1,1125,6 months ago,0,flexible
278830,Charming craftsman 3 bdm house,1452570,Emily,11/29/2011,2,98119,"Seattle, WA",United States,47.6329184,-122.3724706,House,Entire home/apt,6,2,3,3,Real Bed,$450.00 ,,,$700.00 ,$125.00 ,6,$15.00 ,1,1125,7 weeks ago,38,strict
5956968,Private unit in a 1920s mansion,326758,Andrew,12/25/2010,1,98119,"Seattle, WA",United States,47.63052548,-122.3661741,House,Private room,2,1,1,1,Real Bed,$120.00 ,$800.00 ,,,$40.00 ,1,$30.00 ,1,6,2 weeks ago,17,strict
1909058,Queen Anne Private Bed and Bath,2497928,Gary And Beth,5/30/2012,1,98119,"Seattle, WA",United States,47.63660545,-122.3685191,House,Private room,2,1,1,1,Real Bed,$80.00 ,$575.00 ,,$150.00 ,,1,$10.00 ,3,14,5 weeks ago,58,moderate
856550,Tiny Garden cabin on Queen Anne  ,4016632,Jean-Marc,10/30/2012,5,98119,"Seattle, WA",United States,47.64016054,-122.375856,Cabin,Private room,2,1,1,1,Real Bed,$60.00 ,$360.00 ,,$150.00 ,$25.00 ,1,$0.00 ,2,7,yesterday,173,strict
4948745,Urban Charm || Downtown || Views,2166277,Aliza,4/18/2012,1,98109,"Seattle, WA",United States,47.6324103,-122.3572161,Apartment,Private room,2,1,1,1,Real Bed,$90.00 ,$500.00 ,"$1,700.00 ",,,1,$0.00 ,3,1125,5 months ago,8,strict
2493658,Airy + Bright Queen Anne Apartment,5177328,Andrea,2/21/2013,6,98119,"Seattle, WA",United States,47.63749172,-122.3668886,Apartment,Entire home/apt,4,1,1,1,Real Bed,$150.00 ,"$1,000.00 ","$3,000.00 ",$100.00 ,$40.00 ,1,$0.00 ,2,365,today,32,strict
175576,Private Apartment - Queen Anne Hill,239585,Ray & Eileen,9/19/2010,1,98119,"Seattle, WA",United States,47.63548171,-122.3584778,House,Entire home/apt,2,1,1,1,Real Bed,$95.00 ,$595.00 ,,,$15.00 ,2,$15.00 ,3,7,a week ago,181,moderate
4454295,Upper Queen Anne Craftsman House,4606439,Nadia,1/6/2013,1,98119,"Seattle, WA",United States,47.63721408,-122.3600458,House,Entire home/apt,2,1,1,1,Real Bed,$99.00 ,$800.00 ,"$2,000.00 ",$500.00 ,$150.00 ,1,$0.00 ,3,1125,a week ago,8,strict
